statistic_yyymm,district_code,site_id,village,birth_total,birth_total_m,birth_total_f,death_total,death_m,death_f,marry_pair,divorce_pair
統計年月,區域別代碼,區域別,村里,出生數,出生數-男,出生數-女,死亡數,死亡數-男,死亡數-女,結婚對數,離婚對數
10705,"65000010001   ",新北市板橋區,留侯里,2,2,0,1,1,0,0,0
10705,"65000010002   ",新北市板橋區,流芳里,0,0,0,3,1,2,1,0
10705,"65000010003   ",新北市板橋區,赤松里,0,0,0,0,0,0,1,0
10705,"65000010004   ",新北市板橋區,黃石里,1,1,0,1,0,1,0,0
10705,"65000010005   ",新北市板橋區,挹秀里,1,1,0,5,3,2,0,0
10705,"65000010006   ",新北市板橋區,湳興里,3,2,1,2,1,1,5,2
10705,"65000010007   ",新北市板橋區,新興里,0,0,0,2,1,1,3,1
10705,"65000010008   ",新北市板橋區,社後里,1,0,1,6,4,2,1,2
10705,"65000010009   ",新北市板橋區,香社里,5,2,3,5,4,1,3,0
10705,"65000010010   ",新北市板橋區,中正里,3,2,1,2,2,0,2,0
10705,"65000010011   ",新北市板橋區,自強里,1,1,0,0,0,0,3,0
10705,"65000010012   ",新北市板橋區,自立里,2,1,1,0,0,0,2,0
